event_id,corpus,n_articles,n_stories,dup_removed
PFC-2020-CA-74306350,Ped,6,6,0
PFC-2020-NV-C920DB3D,Ped,1,1,0
PFC-2020-AZ-2DD82F1C,Ped,1,1,0
PFC-2020-AZ-A30CFC08,Ped,2,2,0
PFC-2020-AZ-993A01F8,Ped,2,2,0
PFC-2020-AZ-450AD4EE,Ped,1,1,0
PFC-2020-AZ-5C65C6C4,Ped,2,2,0
PFC-2020-CA-D5CB9E26,Ped,1,1,0
PFC-2020-AZ-1151675D,Ped,2,2,0
PFC-2020-AZ-C9ED5AA7,Ped,2,2,0
PFC-2020-AZ-F6C009E8,Ped,1,1,0
PFC-2020-CA-622B2CFA,Ped,2,2,0
PFC-2020-CA-7A2C718C,Ped,1,1,0
PFC-2020-AZ-B00BC028,Ped,1,1,0
PFC-2020-CA-87D7DFDD,Ped,2,2,0
PFC-2020-CA-36701505,Ped,1,1,0
PFC-2020-CA-B4B7431D,Ped,3,1,2
PFC-2020-CA-45CA8E00,Ped,1,1,0
PFC-2020-CA-77262BFE,Ped,4,1,3
PFC-2020-CA-1294EFAA,Ped,1,1,0
PFC-2020-CA-7C338C5F,Ped,3,3,0
PFC-2020-TX-FA90D1E4,Ped,1,1,0
PFC-2020-AZ-A40123F0,Ped,3,2,1
PFC-2020-CA-343B57EC,Ped,1,1,0
PFC-2020-CA-CCC2F368,Ped,1,1,0
PFC-2020-TX-597B35E6,Ped,1,1,0
PFC-2020-AZ-B3914787,Ped,2,2,0
PFC-2020-AZ-F7DC8906,Ped,2,2,0
PFC-2020-AZ-1475EE20,Ped,1,1,0
PFC-2020-CA-D9ED3B72,Ped,1,1,0
PFC-2020-CA-FAE52059,Ped,1,1,0
PFC-2020-TX-C3063428,Ped,1,1,0
PFC-2020-CA-AD33F599,Ped,1,1,0
PFC-2020-CA-536B9F5A,Ped,1,1,0
PFC-2020-CA-B3DC7621,Ped,1,1,0
PFC-2020-CA-3A73CE75,Ped,1,1,0
PFC-2020-CA-BEAA6FEE,Ped,1,1,0
PFC-2020-CA-5807F5BA,Ped,1,1,0
PFC-2020-CA-3D4B399C,Ped,1,1,0
PFC-2020-CA-5C237030,Ped,1,1,0
PFC-2020-CA-0A902EBC,Ped,1,1,0
PFC-2020-CA-B2DA1C02,Ped,1,1,0
PFC-2020-CA-4910A975,Ped,1,1,0
PFC-2020-CA-A67AC7EB,Ped,1,1,0
PFC-2020-CA-D108CDAA,Ped,1,1,0
PFC-2020-CA-E9F2669A,Ped,1,1,0
PFC-2020-CA-CB8C26C2,Ped,1,1,0
PFC-2020-CA-86B93CBE,Ped,1,1,0
PFC-2020-CA-E8A45AED,Ped,1,1,0
PFC-2020-CA-DD976A48,Ped,1,1,0
PFC-2020-CA-B8C6B8A8,Ped,1,1,0
PFC-2020-CA-6341AE10,Ped,1,1,0
PFC-2020-CA-B655B96A,Ped,1,1,0
PFC-2020-CA-19BED900,Ped,1,1,0
PFC-2020-CA-EE2C337F,Ped,1,1,0
PFC-2020-CA-C811F5F7,Ped,1,1,0
PFC-2020-AZ-88E95209,Ped,1,1,0
PFC-2020-CA-6AE33CCB,Ped,1,1,0
PFC-2021-AZ-683A8CA9,Ped,2,2,0
PFC-2021-AZ-F72A77C1,Ped,1,1,0
PFC-2021-CA-92B024C9,Ped,2,1,1
PFC-2021-AZ-65C41087,Ped,1,1,0
PFC-2021-CA-C6065D0A,Ped,1,1,0
PFC-2021-CA-27C9F86A,Ped,1,1,0
PFC-2021-AZ-B620F1B7,Ped,2,2,0
PFC-2021-AZ-E389EC03,Ped,1,1,0
PFC-2021-AZ-E67DD9BF,Ped,4,4,0
PFC-2021-AZ-85C486B9,Ped,3,3,0
PFC-2021-CA-164462BA,Ped,2,2,0
PFC-2021-NV-2D93DC1E,Ped,1,1,0
PFC-2021-CA-0854567E,Ped,3,2,1
PFC-2021-CA-402EB959,Ped,3,3,0
PFC-2021-CA-E271FBA6,Ped,1,1,0
PFC-2021-AZ-E675A737,Ped,2,2,0
PFC-2021-CA-405CAAF2,Ped,1,1,0
PFC-2021-CA-7896D064,Ped,1,1,0
PFC-2021-CA-C700C582,Ped,1,1,0
PFC-2021-AZ-B6B504CE,Ped,2,2,0
PFC-2021-CA-F0EF9F39,Ped,2,1,1
PFC-2021-CA-8BFEA0C8,Ped,1,1,0
PFC-2021-CA-C6F02E8C,Ped,1,1,0
PFC-2021-AZ-7CC5DD21,Ped,3,3,0
PFC-2021-TX-1BC920DF,Ped,1,1,0
PFC-2021-CA-35990591,Ped,1,1,0
PFC-2021-AZ-11BBC978,Ped,1,1,0
PFC-2021-AZ-4034ADC6,Ped,2,2,0
PFC-2021-AZ-A8E0A3E5,Ped,4,4,0
PFC-2021-AZ-6C280535,Ped,2,2,0
PFC-2021-CA-9947EA1A,Ped,1,1,0
PFC-2021-AZ-790F627C,Ped,3,3,0
PFC-2021-AZ-3DF0137B,Ped,1,1,0
PFC-2021-AZ-93BA91AF,Ped,1,1,0
PFC-2021-AZ-3AAC5A60,Ped,2,2,0
PFC-2021-CA-C679A843,Ped,3,3,0
PFC-2021-TX-0B966C28,Ped,1,1,0
PFC-2021-CA-E72D299F,Ped,1,1,0
PFC-2021-AZ-529E0D00,Ped,1,1,0
PFC-2021-NV-3C2D3D70,Ped,1,1,0
PFC-2021-AZ-CC0D5146,Ped,1,1,0
PFC-2021-AZ-8247B623,Ped,1,1,0
PFC-2021-CA-3BACD072,Ped,4,3,1
PFC-2021-AZ-8ACFA789,Ped,1,1,0
PFC-2021-AZ-01D0FC5F,Ped,1,1,0
